F00 1 2 01 = {0, 0, 0, 0, 5/2, 0, 0, 0, 0, 0, -95/8, -11/4, 0, 0, -9/4, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 0, 181/8, 25/4, 0, 0, 13/8, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, 0, -18295/64, -1645/16, -147/16, 0, 0, -881/32, -133/16, 0, 0, -17/16, 0, 0, 0, 0, 0, 8509237/512, 429235/64, 54763/64, 727/16, 29/32, 0, 0, 308257/64, 61059/32, 3699/16, 81/8, 0, 0, 33151/64, 3141/16, 315/16, 0, 0, 433/16, 69/8, 0, 0, 21/32, 0, 0, 0, 0, 0, -730174639/2048, -153351695/1024, -5339355/256, -170127/128, -5355/128, -35/64, 0, 0, -108944501/1024, -5667827/128, -772651/128, -11671/32, -605/64, 0, 0, -3098031/256, -633325/128, -41085/64, -1023/32, 0, 0, -90777/128, -8899/32, -957/32, 0, 0, -2995/128, -495/64, 0, 0, -25/64, 0, 0, 0, 0}
F00 2 2 00 = {0, 0, 0, -8/3, 0, 0, 0, 0, 0, 188/15, 4, 0, 0, 12/5, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, 0, -165/7, -8, 0, 0, -12/7, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 0, 26401/90, 120, 14, 0, 0, 256/9, 10, 0, 0, 10/9, 0, 0, 0, 0, 0, -17830343/1056, -58787/8, -2187/2, -153/2, -5/2, 0, 0, -1294085/264, -2113, -609/2, -18, 0, 0, -34907/66, -443/2, -27, 0, 0, -1835/66, -10, 0, 0, -15/22, 0, 0, 0, 0, 0, 31515255407/87360, 10242223/64, 24801, 15145/8, 321/4, 7/4, 0, 0, 9413179549/87360, 95175/2, 58377/8, 539, 77/4, 0, 0, 6703363/546, 42971/8, 1595/2, 99/2, 0, 0, 225157/312, 307, 77/2, 0, 0, 1245/52, 35/4, 0, 0, 21/52, 0, 0, 0, 0, 0}
F00 2 2 10 = {0, 0, 0, 0, 0, 0, -8/3, 0, 0, 0, 0, 0, 0, 188/15, 4, 0, 12/5, 0, 0, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, -165/7, -8, 0, -12/7, 0, 0, 0, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 26401/90, 120, 14, 0, 256/9, 10, 0, 10/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17830343/1056, -58787/8, -2187/2, -153/2, -5/2, 0, -1294085/264, -2113, -609/2, -18, 0, -34907/66, -443/2, -27, 0, -1835/66, -10, 0, -15/22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31515255407/87360, 10242223/64, 24801, 15145/8, 321/4, 7/4, 0, 9413179549/87360, 95175/2, 58377/8, 539, 77/4, 0, 6703363/546, 42971/8, 1595/2, 99/2, 0, 225157/312, 307, 77/2, 0, 1245/52, 35/4, 0, 21/52, 0, 0}
F00 2 2 01 = {0, 0, 0, 0, -8/3, 0, 0, 0, 0, 0, 188/15, 4, 0, 0, 12/5, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, 0, -165/7, -8, 0, 0, -12/7, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 0, 26401/90, 120, 14, 0, 0, 256/9, 10, 0, 0, 10/9, 0, 0, 0, 0, 0, -17830343/1056, -58787/8, -2187/2, -153/2, -5/2, 0, 0, -1294085/264, -2113, -609/2, -18, 0, 0, -34907/66, -443/2, -27, 0, 0, -1835/66, -10, 0, 0, -15/22, 0, 0, 0, 0, 0, 31515255407/87360, 10242223/64, 24801, 15145/8, 321/4, 7/4, 0, 0, 9413179549/87360, 95175/2, 58377/8, 539, 77/4, 0, 0, 6703363/546, 42971/8, 1595/2, 99/2, 0, 0, 225157/312, 307, 77/2, 0, 0, 1245/52, 35/4, 0, 0, 21/52, 0, 0, 0, 0}
F00 3 2 00 = {0, 0, 0, 44/15, 0, 0, 0, 0, 0, -278/21, -26/5, 0, 0, -18/7, 0, 0, 0, 0, 0, 40847/420, 619/14, 6, 0, 0, 1031/42, 68/7, 0, 0, 38/21, 0, 0, 0, 0, 0, -143239/132, -30277/60, -248/3, -17/3, 0, 0, -119191/396, -412/3, -19, 0, 0, -2908/99, -35/3, 0, 0, -115/99, 0, 0, 0, 0, 0, 16485624031/960960, 1409817/176, 5429/4, 461/4, 19/4, 0, 0, 239696063/48048, 51093/22, 1533/4, 27, 0, 0, 926561/1716, 10861/44, 69/2, 0, 0, 48995/1716, 125/11, 0, 0, 405/572, 0, 0, 0, 0, 0, -12755854429/34944, -1986947581/11648, -116395/4, -206153/80, -1071/8, -147/40, 0, 0, -6355831399/58240, -18553471/364, -138477/16, -1485/2, -253/8, 0, 0, -3400211/273, -1206755/208, -3845/4, -275/4, 0, 0, -2290829/3120, -8737/26, -189/4, 0, 0, -2547/104, -1015/104, 0, 0, -217/520, 0, 0, 0, 0, 0}
F00 3 2 10 = {0, 0, 0, 0, 0, 0, 44/15, 0, 0, 0, 0, 0, 0, -278/21, -26/5, 0, -18/7, 0, 0, 0, 0, 0, 0, 0, 40847/420, 619/14, 6, 0, 1031/42, 68/7, 0, 38/21, 0, 0, 0, 0, 0, 0, 0, 0, -143239/132, -30277/60, -248/3, -17/3, 0, -119191/396, -412/3, -19, 0, -2908/99, -35/3, 0, -115/99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16485624031/960960, 1409817/176, 5429/4, 461/4, 19/4, 0, 239696063/48048, 51093/22, 1533/4, 27, 0, 926561/1716, 10861/44, 69/2, 0, 48995/1716, 125/11, 0, 405/572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12755854429/34944, -1986947581/11648, -116395/4, -206153/80, -1071/8, -147/40, 0, -6355831399/58240, -18553471/364, -138477/16, -1485/2, -253/8, 0, -3400211/273, -1206755/208, -3845/4, -275/4, 0, -2290829/3120, -8737/26, -189/4, 0, -2547/104, -1015/104, 0, -217/520, 0, 0}
F00 3 2 01 = {0, 0, 0, 0, 44/15, 0, 0, 0, 0, 0, -278/21, -26/5, 0, 0, -18/7, 0, 0, 0, 0, 0, 40847/420, 619/14, 6, 0, 0, 1031/42, 68/7, 0, 0, 38/21, 0, 0, 0, 0, 0, -143239/132, -30277/60, -248/3, -17/3, 0, 0, -119191/396, -412/3, -19, 0, 0, -2908/99, -35/3, 0, 0, -115/99, 0, 0, 0, 0, 0, 16485624031/960960, 1409817/176, 5429/4, 461/4, 19/4, 0, 0, 239696063/48048, 51093/22, 1533/4, 27, 0, 0, 926561/1716, 10861/44, 69/2, 0, 0, 48995/1716, 125/11, 0, 0, 405/572, 0, 0, 0, 0, 0, -12755854429/34944, -1986947581/11648, -116395/4, -206153/80, -1071/8, -147/40, 0, 0, -6355831399/58240, -18553471/364, -138477/16, -1485/2, -253/8, 0, 0, -3400211/273, -1206755/208, -3845/4, -275/4, 0, 0, -2290829/3120, -8737/26, -189/4, 0, 0, -2547/104, -1015/104, 0, 0, -217/520, 0, 0, 0, 0}
F00 4 2 00 = {0, 0, 0, -16/5, 0, 0, 0, 0, 0, 488/35, 32/5, 0, 0, 96/35, 0, 0, 0, 0, 0, -3517/35, -360/7, -8, 0, 0, -536/21, -80/7, 0, 0, -40/21, 0, 0, 0, 0, 0, 61009/55, 2812/5, 104, 8, 0, 0, 50924/165, 464/3, 24, 0, 0, 1000/33, 40/3, 0, 0, 40/33, 0, 0, 0, 0, 0, -1395469661/80080, -95395/11, -1621, -154, -7, 0, 0, -5080597/1001, -27850/11, -462, -36, 0, 0, -78795/143, -2994/11, -42, 0, 0, -4190/143, -140/11, 0, 0, -105/143, 0, 0, 0, 0, 0, 5377336123/14560, 131863161/728, 66793/2, 32607/10, 375/2, 28/5, 0, 0, 1206789331/10920, 4946273/91, 20025/2, 946, 44, 0, 0, 6897481/546, 162033/26, 1125, 88, 0, 0, 97087/130, 4746/13, 56, 0, 0, 651/26, 140/13, 0, 0, 28/65, 0, 0, 0, 0, 0}
F00 4 2 10 = {0, 0, 0, 0, 0, 0, -16/5, 0, 0, 0, 0, 0, 0, 488/35, 32/5, 0, 96/35, 0, 0, 0, 0, 0, 0, 0, -3517/35, -360/7, -8, 0, -536/21, -80/7, 0, -40/21, 0, 0, 0, 0, 0, 0, 0, 0, 61009/55, 2812/5, 104, 8, 0, 50924/165, 464/3, 24, 0, 1000/33, 40/3, 0, 40/33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1395469661/80080, -95395/11, -1621, -154, -7, 0, -5080597/1001, -27850/11, -462, -36, 0, -78795/143, -2994/11, -42, 0, -4190/143, -140/11, 0, -105/143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5377336123/14560, 131863161/728, 66793/2, 32607/10, 375/2, 28/5, 0, 1206789331/10920, 4946273/91, 20025/2, 946, 44, 0, 6897481/546, 162033/26, 1125, 88, 0, 97087/130, 4746/13, 56, 0, 651/26, 140/13, 0, 28/65, 0, 0}
F00 4 2 01 = {0, 0, 0, 0, -16/5, 0, 0, 0, 0, 0, 488/35, 32/5, 0, 0, 96/35, 0, 0, 0, 0, 0, -3517/35, -360/7, -8, 0, 0, -536/21, -80/7, 0, 0, -40/21, 0, 0, 0, 0, 0, 61009/55, 2812/5, 104, 8, 0, 0, 50924/165, 464/3, 24, 0, 0, 1000/33, 40/3, 0, 0, 40/33, 0, 0, 0, 0, 0, -1395469661/80080, -95395/11, -1621, -154, -7, 0, 0, -5080597/1001, -27850/11, -462, -36, 0, 0, -78795/143, -2994/11, -42, 0, 0, -4190/143, -140/11, 0, 0, -105/143, 0, 0, 0, 0, 0, 5377336123/14560, 131863161/728, 66793/2, 32607/10, 375/2, 28/5, 0, 0, 1206789331/10920, 4946273/91, 20025/2, 946, 44, 0, 0, 6897481/546, 162033/26, 1125, 88, 0, 0, 97087/130, 4746/13, 56, 0, 0, 651/26, 140/13, 0, 0, 28/65, 0, 0, 0, 0}
