F00 1 2 01 = {0, 0, 0, 0, 7/2, 0, 0, 0, 0, 0, -245/8, -13/4, 0, 0, -15/4, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 0, 571/8, 35/4, 0, 0, 23/8, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, 0, -93601/64, -3871/16, -189/16, 0, 0, -3107/32, -203/16, 0, 0, -31/16, 0, 0, 0, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 0, 0, 2306527/64, 218001/32, 7317/16, 99/8, 0, 0, 191821/64, 8307/16, 441/16, 0, 0, 1639/16, 111/8, 0, 0, 39/32, 0, 0, 0, 0, 0, -8350832165/2048, -867349385/1024, -17408145/256, -353457/128, -7625/128, -37/64, 0, 0, -1114553699/1024, -28342721/128, -2190133/128, -20581/32, -715/64, 0, 0, -26239677/256, -2558611/128, -90783/64, -1353/32, 0, 0, -571719/128, -25465/32, -1419/32, 0, 0, -11905/128, -825/64, 0, 0, -47/64, 0, 0, 0, 0}
F00 2 2 00 = {0, 0, 0, -14/3, 0, 0, 0, 0, 0, 1201/30, 6, 0, 0, 22/5, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, 0, -599/7, -13, 0, 0, -45/14, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 0, 605689/360, 1313/4, 21, 0, 0, 8015/72, 17, 0, 0, 19/9, 0, 0, 0, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, 0, 0, -10585697/264, -68255/8, -696, -51/2, 0, 0, -1766665/528, -658, -171/4, 0, 0, -3772/33, -35/2, 0, 0, -115/88, 0, 0, 0, 0, 0, 3089853378331/698880, 127876735/128, 5851625/64, 36257/8, 4263/32, 17/8, 0, 0, 206626543943/174720, 8405599/32, 186615/8, 8701/8, 209/8, 0, 0, 1952336345/17472, 191559/8, 31669/16, 297/4, 0, 0, 1525495/312, 7725/8, 253/4, 0, 0, 42395/416, 125/8, 0, 0, 81/104, 0, 0, 0, 0, 0}
F00 2 2 10 = {0, 0, 0, 0, 0, 0, -14/3, 0, 0, 0, 0, 0, 0, 1201/30, 6, 0, 22/5, 0, 0, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, -599/7, -13, 0, -45/14, 0, 0, 0, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 605689/360, 1313/4, 21, 0, 8015/72, 17, 0, 19/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, 0, -10585697/264, -68255/8, -696, -51/2, 0, -1766665/528, -658, -171/4, 0, -3772/33, -35/2, 0, -115/88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3089853378331/698880, 127876735/128, 5851625/64, 36257/8, 4263/32, 17/8, 0, 206626543943/174720, 8405599/32, 186615/8, 8701/8, 209/8, 0, 1952336345/17472, 191559/8, 31669/16, 297/4, 0, 1525495/312, 7725/8, 253/4, 0, 42395/416, 125/8, 0, 81/104, 0, 0}
F00 2 2 01 = {0, 0, 0, 0, -14/3, 0, 0, 0, 0, 0, 1201/30, 6, 0, 0, 22/5, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, 0, -599/7, -13, 0, 0, -45/14, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 0, 605689/360, 1313/4, 21, 0, 0, 8015/72, 17, 0, 0, 19/9, 0, 0, 0, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, 0, 0, -10585697/264, -68255/8, -696, -51/2, 0, 0, -1766665/528, -658, -171/4, 0, 0, -3772/33, -35/2, 0, 0, -115/88, 0, 0, 0, 0, 0, 3089853378331/698880, 127876735/128, 5851625/64, 36257/8, 4263/32, 17/8, 0, 0, 206626543943/174720, 8405599/32, 186615/8, 8701/8, 209/8, 0, 0, 1952336345/17472, 191559/8, 31669/16, 297/4, 0, 0, 1525495/312, 7725/8, 253/4, 0, 0, 42395/416, 125/8, 0, 0, 81/104, 0, 0, 0, 0}
F00 3 2 00 = {0, 0, 0, 28/5, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, 0, -174/35, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 0, 4205/42, 124/7, 0, 0, 74/21, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, 0, -419613/220, -1276/3, -33, 0, 0, -1384/11, -65/3, 0, 0, -25/11, 0, 0, 0, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 0, 0, 708259815/16016, 229051/22, 3975/4, 45, 0, 0, 2116885/572, 35655/44, 123/2, 0, 0, 72275/572, 235/11, 0, 0, 795/572, 0, 0, 0, 0, 0, -277732556873/58240, -13522531095/11648, -475541/4, -555323/80, -2053/8, -217/40, 0, 0, -44656901203/34944, -111659029/364, -490807/16, -3399/2, -407/8, 0, 0, -33061858/273, -5864681/208, -10599/4, -473/4, 0, 0, -5531133/1040, -29875/26, -343/4, 0, 0, -11537/104, -1925/104, 0, 0, -427/520, 0, 0, 0, 0, 0}
F00 3 2 10 = {0, 0, 0, 0, 0, 0, 28/5, 0, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, -174/35, 0, 0, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 4205/42, 124/7, 0, 74/21, 0, 0, 0, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, -419613/220, -1276/3, -33, 0, -1384/11, -65/3, 0, -25/11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 0, 708259815/16016, 229051/22, 3975/4, 45, 0, 2116885/572, 35655/44, 123/2, 0, 72275/572, 235/11, 0, 795/572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -277732556873/58240, -13522531095/11648, -475541/4, -555323/80, -2053/8, -217/40, 0, -44656901203/34944, -111659029/364, -490807/16, -3399/2, -407/8, 0, -33061858/273, -5864681/208, -10599/4, -473/4, 0, -5531133/1040, -29875/26, -343/4, 0, -11537/104, -1925/104, 0, -427/520, 0, 0}
F00 3 2 01 = {0, 0, 0, 0, 28/5, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, 0, -174/35, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 0, 4205/42, 124/7, 0, 0, 74/21, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, 0, -419613/220, -1276/3, -33, 0, 0, -1384/11, -65/3, 0, 0, -25/11, 0, 0, 0, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 0, 0, 708259815/16016, 229051/22, 3975/4, 45, 0, 0, 2116885/572, 35655/44, 123/2, 0, 0, 72275/572, 235/11, 0, 0, 795/572, 0, 0, 0, 0, 0, -277732556873/58240, -13522531095/11648, -475541/4, -555323/80, -2053/8, -217/40, 0, 0, -44656901203/34944, -111659029/364, -490807/16, -3399/2, -407/8, 0, 0, -33061858/273, -5864681/208, -10599/4, -473/4, 0, 0, -5531133/1040, -29875/26, -343/4, 0, 0, -11537/104, -1925/104, 0, 0, -427/520, 0, 0, 0, 0}
F00 4 2 00 = {0, 0, 0, -32/5, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 0, 192/35, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, 0, -2416/21, -160/7, 0, 0, -80/21, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 0, 352648/165, 1600/3, 48, 0, 0, 4640/33, 80/3, 0, 0, 80/33, 0, 0, 0, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, 0, 0, -48463458/1001, -137012/11, -1356, -72, 0, 0, -580870/143, -10740/11, -84, 0, 0, -19820/143, -280/11, 0, 0, -210/143, 0, 0, 0, 0, 0, 37276859233/7280, 485203057/364, 150715, 50547/5, 445, 56/5, 0, 0, 7504626331/5460, 32190822/91, 39253, 2508, 88, 0, 0, 35652571/273, 425725/13, 3438, 176, 0, 0, 373987/65, 17500/13, 112, 0, 0, 1561/13, 280/13, 0, 0, 56/65, 0, 0, 0, 0, 0}
F00 4 2 10 = {0, 0, 0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 192/35, 0, 0, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, -2416/21, -160/7, 0, -80/21, 0, 0, 0, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 352648/165, 1600/3, 48, 0, 4640/33, 80/3, 0, 80/33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, 0, -48463458/1001, -137012/11, -1356, -72, 0, -580870/143, -10740/11, -84, 0, -19820/143, -280/11, 0, -210/143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37276859233/7280, 485203057/364, 150715, 50547/5, 445, 56/5, 0, 7504626331/5460, 32190822/91, 39253, 2508, 88, 0, 35652571/273, 425725/13, 3438, 176, 0, 373987/65, 17500/13, 112, 0, 1561/13, 280/13, 0, 56/65, 0, 0}
F00 4 2 01 = {0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 0, 192/35, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, 0, -2416/21, -160/7, 0, 0, -80/21, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 0, 352648/165, 1600/3, 48, 0, 0, 4640/33, 80/3, 0, 0, 80/33, 0, 0, 0, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, 0, 0, -48463458/1001, -137012/11, -1356, -72, 0, 0, -580870/143, -10740/11, -84, 0, 0, -19820/143, -280/11, 0, 0, -210/143, 0, 0, 0, 0, 0, 37276859233/7280, 485203057/364, 150715, 50547/5, 445, 56/5, 0, 0, 7504626331/5460, 32190822/91, 39253, 2508, 88, 0, 0, 35652571/273, 425725/13, 3438, 176, 0, 0, 373987/65, 17500/13, 112, 0, 0, 1561/13, 280/13, 0, 0, 56/65, 0, 0, 0, 0}
