##### Q = 0
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^0, Q = 0 polynomial shapes
   alpha = 4.7: relative residual 0.985247  (27 equations, 2 unknowns)
   alpha = 4.75: relative residual 0.985371  (27 equations, 2 unknowns)
   alpha = 4.8: relative residual 0.985477  (27 equations, 2 unknowns)
   alpha = 4.85: relative residual 0.985568  (27 equations, 2 unknowns)
   alpha = 4.9: relative residual 0.985646  (27 equations, 2 unknowns)
   alpha = 4.95: relative residual 0.985712  (27 equations, 2 unknowns)
   alpha = 5.0: relative residual 0.985768  (27 equations, 2 unknowns)
   alpha = 5.05: relative residual 0.985816  (27 equations, 2 unknowns)
   alpha = 5.1: relative residual 0.985856  (27 equations, 2 unknowns)
   alpha = 5.15: relative residual 0.985889  (27 equations, 2 unknowns)
   alpha = 5.2: relative residual 0.985916  (27 equations, 2 unknowns)
   alpha = 5.25: gamma function pole
   alpha = 5.3: relative residual 0.985958  (27 equations, 2 unknowns)
   alpha = 5.35: relative residual 0.985972  (27 equations, 2 unknowns)
   alpha = 5.4: relative residual 0.985984  (27 equations, 2 unknowns)
   alpha = 5.45: relative residual 0.985994  (27 equations, 2 unknowns)
   alpha = 5.5: relative residual 0.986001  (27 equations, 2 unknowns)
   alpha = 5.55: relative residual 0.986007  (27 equations, 2 unknowns)
   alpha = 5.6: relative residual 0.986011  (27 equations, 2 unknowns)
   alpha = 5.65: relative residual 0.986014  (27 equations, 2 unknowns)
   alpha = 5.7: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 5.75: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 5.8: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 5.85: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 5.9: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 5.95: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.0: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.05: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.1: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.15: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.2: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.25: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.3: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.35: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.4: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.45: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.5: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.55: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.6: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 6.65: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.7: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.75: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.8: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.85: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.9: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 6.95: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 7.0: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 7.05: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 7.1: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 7.15: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 7.2: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 7.25: relative residual 0.986017  (27 equations, 2 unknowns)
   alpha = 7.3: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 7.35: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 7.4: relative residual 0.986014  (27 equations, 2 unknowns)
   alpha = 7.45: relative residual 0.986013  (27 equations, 2 unknowns)
   alpha = 7.5: relative residual 0.986011  (27 equations, 2 unknowns)
   alpha = 7.55: relative residual 0.986009  (27 equations, 2 unknowns)
   alpha = 7.6: relative residual 0.986007  (27 equations, 2 unknowns)
   alpha = 7.65: relative residual 0.986005  (27 equations, 2 unknowns)
   alpha = 7.7: relative residual 0.986002  (27 equations, 2 unknowns)
   alpha = 7.75: relative residual 0.985999  (27 equations, 2 unknowns)
   alpha = 7.8: relative residual 0.985996  (27 equations, 2 unknowns)
   alpha = 7.85: relative residual 0.985992  (27 equations, 2 unknowns)
   alpha = 7.9: relative residual 0.985988  (27 equations, 2 unknowns)
   alpha = 7.95: relative residual 0.985984  (27 equations, 2 unknowns)
   alpha = 8.0: relative residual 0.98598  (27 equations, 2 unknowns)
   alpha = 8.05: relative residual 0.985975  (27 equations, 2 unknowns)
smallest residuals: [('0.4552', '1.7'), ('0.4595', '0.05'), ('0.4624', '1.65'), ('0.4702', '1.8'), ('0.487', '1.85')] in 58s
DONE
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^1, Q = 0 polynomial shapes
   alpha = 0.05: relative residual 0.683199  (27 equations, 2 unknowns)
   alpha = 0.1: relative residual 0.808363  (27 equations, 2 unknowns)
   alpha = 0.15: relative residual 0.72602  (27 equations, 2 unknowns)
   alpha = 0.2: relative residual 0.810102  (27 equations, 2 unknowns)
   alpha = 0.25: gamma function pole
   alpha = 0.3: relative residual 0.888134  (27 equations, 2 unknowns)
   alpha = 0.35: relative residual 0.844396  (27 equations, 2 unknowns)
   alpha = 0.4: relative residual 0.888181  (27 equations, 2 unknowns)
   alpha = 0.45: relative residual 0.971461  (27 equations, 2 unknowns)
   alpha = 0.5: relative residual 0.964458  (27 equations, 2 unknowns)
   alpha = 0.55: relative residual 0.87768  (27 equations, 2 unknowns)
   alpha = 0.6: relative residual 0.803002  (27 equations, 2 unknowns)
   alpha = 0.65: relative residual 0.74442  (27 equations, 2 unknowns)
   alpha = 0.7: relative residual 0.693867  (27 equations, 2 unknowns)
   alpha = 0.75: gamma function pole
