Solution 3, spins 1-13: scalar + normalizations rank 47, augmented 48
   F03 alone: 99 columns, rank 47 (+0), inconsistent
   F10 alone: 99 columns, rank 71 (+24), inconsistent
   F12 alone: 99 columns, rank 71 (+24), inconsistent
   F20 alone: 99 columns, rank 71 (+24), inconsistent
   F00 + F02: 198 columns, rank 87 (+40), inconsistent
   F00 + F03: 198 columns, rank 70 (+23), inconsistent
   F00 + F10: 198 columns, rank 73 (+26), inconsistent
   F00 + F12: 198 columns, rank 94 (+47), inconsistent
   F00 + F20: 198 columns, rank 76 (+29), inconsistent
   F02 + F03: 198 columns, rank 70 (+23), inconsistent
   F02 + F10: 198 columns, rank 88 (+41), inconsistent
   F02 + F12: 198 columns, rank 94 (+47), inconsistent
   F02 + F20: 198 columns, rank 90 (+43), inconsistent
   F03 + F10: 198 columns, rank 71 (+24), inconsistent
   F03 + F12: 198 columns, rank 71 (+24), inconsistent
   F03 + F20: 198 columns, rank 71 (+24), inconsistent
   F10 + F12: 198 columns, rank 95 (+48), inconsistent
   F10 + F20: 198 columns, rank 74 (+27), inconsistent
   F12 + F20: 198 columns, rank 95 (+48), inconsistent
DONE
MINIMAL13DONE
