  X^3 Y^1: -1001*(t - 1)*(9765*t**6 - 72528*t**5 + 72749*t**4 + 607440*t**3 - 628297*t**2 - 2822208*t - 1801993)/(6*(t - 49)*(t + 1)**3*(3*t - 43)*(5*t - 37)*(7*t - 31))    [deg <= 7, verified on 5 hold-outs]
  X^3 Y^0: -1001*(120015*t**8 - 1550856*t**7 + 7873228*t**6 - 3365256*t**5 - 123680382*t**4 + 50370216*t**3 + 882494172*t**2 + 1235892456*t + 518168327)/(720*(t - 49)*(t + 1)**4*(3*t - 43)*(5*t - 37)*(7*t - 31))    [deg <= 8, verified on 5 hold-outs]
  X^2 Y^5: -945945*(t - 1)**5/((t - 49)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 5, verified on 5 hold-outs]
  X^2 Y^4: -1576575*(t - 1)**4*(9*t**2 - 8*t - 29)/(2*(t - 49)*(t + 1)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 6, verified on 5 hold-outs]
  X^2 Y^3: -105105*(t - 1)**3*(441*t**4 - 940*t**3 - 2334*t**2 + 3244*t + 4917)/(2*(t - 49)*(t + 1)**2*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 7, verified on 5 hold-outs]
  X^2 Y^2: -5005*(t - 1)**2*(29295*t**6 - 113220*t**5 - 137653*t**4 + 765528*t**3 + 438749*t**2 - 1683348*t - 1421911)/(4*(t - 49)*(t + 1)**3*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 8, verified on 5 hold-outs]
  X^2 Y^1: -1001*(t - 1)*(1080135*t**8 - 6831000*t**7 + 2787900*t**6 + 61354600*t**5 - 70854110*t**4 - 276363656*t**3 + 168627820*t**2 + 690197176*t + 370344175)/(48*(t - 49)*(t + 1)**4*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 9, verified on 5 hold-outs]
  X^2 Y^0: -91*(7243425*t**10 - 72979200*t**9 + 216352287*t**8 + 294298624*t**7 - 4116723174*t**6 + 2898922752*t**5 + 34212906030*t**4 + 4455665664*t**3 - 114658676043*t**2 - 146233669120*t - 54414664125)/(288*(t - 49)*(t + 1)**5*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25))    [deg <= 10, verified on 5 hold-outs]
  X^1 Y^6: -945945*(t - 1)**6/((t - 49)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 6, verified on 5 hold-outs]
  X^1 Y^5: -945945*(t - 1)**5*(11*t**2 - 4*t - 27)/((t - 49)*(t + 1)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 7, verified on 5 hold-outs]
  X^1 Y^4: -315315*(t - 1)**4*(693*t**4 - 660*t**3 - 3246*t**2 + 1588*t + 4201)/(4*(t - 49)*(t + 1)**2*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 8, verified on 5 hold-outs]
  X^1 Y^3: -5005*(t - 1)**3*(64449*t**6 - 118200*t**5 - 417967*t**4 + 599328*t**3 + 1075163*t**2 - 797352*t - 1098349)/(2*(t - 49)*(t + 1)**3*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 9, verified on 5 hold-outs]
  X^1 Y^2: -1001*(t - 1)**2*(3960495*t**8 - 12299304*t**7 - 28181332*t**6 + 98190296*t**5 + 91500962*t**4 - 289699768*t**3 - 210519172*t**2 + 312658952*t + 255718023)/(16*(t - 49)*(t + 1)**4*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 10, verified on 5 hold-outs]
  X^1 Y^1: -91*(t - 1)*(79677675*t**10 - 391950972*t**9 - 379014927*t**8 + 4244035632*t**7 - 1103420946*t**6 - 19998409768*t**5 + 7787350370*t**4 + 53382332336*t**3 + 1453867031*t**2 - 62740337980*t - 33438590275)/(48*(t - 49)*(t + 1)**5*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 11, verified on 5 hold-outs]
  X^1 Y^0: -(132331395735*t**12 - 1003727821284*t**11 + 319329154098*t**10 + 12852923423412*t**9 - 32838280509379*t**8 - 45704828590440*t**7 + 335620514532556*t**6 + 161931451492584*t**5 - 1487192164137375*t**4 - 1372427519767284*t**3 + 1873671032828770*t**2 + 3091534862729892*t + 1157993467949675)/(8640*(t - 49)*(t + 1)**6*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 12, verified on 5 hold-outs]
  X^0 Y^7: -10395*(t - 1)**6/((t - 49)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 6, verified on 5 hold-outs]
  X^0 Y^6: -24255*(t - 1)**5*(13*t**2 - 25)/(2*(t - 49)*(t + 1)*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 7, verified on 5 hold-outs]
  X^0 Y^5: -4851*(t - 1)**4*(1001*t**4 - 156*t**3 - 3822*t**2 + 156*t + 3541)/(4*(t - 49)*(t + 1)**2*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 8, verified on 5 hold-outs]
  X^0 Y^4: -385*(t - 1)**3*(119691*t**6 - 60684*t**5 - 701233*t**4 + 198120*t**3 + 1347905*t**2 - 137436*t - 826843)/(8*(t - 49)*(t + 1)**3*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 9, verified on 5 hold-outs]
  X^0 Y^3: -77*(t - 1)**2*(10297287*t**8 - 11372088*t**7 - 83033444*t**6 + 66917448*t**5 + 255142914*t**4 - 124743528*t**3 - 347826804*t**2 + 69198168*t + 169048847)/(48*(t - 49)*(t + 1)**4*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 10, verified on 5 hold-outs]
  X^0 Y^2: -7*(t - 1)*(345269925*t**10 - 696291960*t**9 - 3520178285*t**8 + 6289062624*t**7 + 15010453666*t**6 - 21301939152*t**5 - 34431108426*t**4 + 31261043424*t**3 + 41727387689*t**2 - 15551874936*t - 19227624889)/(96*(t - 49)*(t + 1)**5*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 11, verified on 5 hold-outs]
  X^0 Y^1: -(132331395735*t**12 - 442886508540*t**11 - 1567276662006*t**10 + 5733095312652*t**9 + 7419302118053*t**8 - 30463015856856*t**7 - 20595275314244*t**6 + 85571252078616*t**5 + 47314731711153*t**4 - 121650748854252*t**3 - 77205469384166*t**2 + 61252303828380*t + 44541892269875)/(8640*(t - 49)*(t + 1)**6*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 12, verified on 5 hold-outs]
  X^0 Y^0: -(80462445525*t**14 - 424821268620*t**13 - 1406480012811*t**12 + 8761153038072*t**11 + 3752053148201*t**10 - 64650235149732*t**9 + 44297063650937*t**8 + 283067132285904*t**7 - 326007744475585*t**6 - 965662269295380*t**5 + 538284687086335*t**4 + 1861059385532856*t**3 + 276905454085123*t**2 - 1122150345143100*t - 535974472158125)/(51840*(t - 49)*(t - 1)*(t + 1)**7*(3*t - 43)*(5*t - 37)*(7*t - 31)*(9*t - 25)*(11*t - 19))    [deg <= 14, verified on 5 hold-outs]
Traceback (most recent call last):
  File "<worker-1>/../ib-repo-0908/vev_profile_w.py", line 65, in <module>
    json.dump(out, open(f"<anchor>/vev_profile_sol{SOL}_w{W}.json", "w"), indent=1)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
FileNotFoundError: [Errno 2] No such file or directory: '<anchor>/vev_profile_sol1_w14.json'
