  t = 2: kernel dim 1, VEV has 36 monomials [884s]
  t = 7/5: kernel dim 1, VEV has 36 monomials [647s]
  t = 3/2: kernel dim 1, VEV has 36 monomials [664s]
  t = 9/7: SKIPPED (kernel dim 2) [679s]
  t = 11/9: kernel dim 1, VEV has 36 monomials [675s]
  t = 4: kernel dim 1, VEV has 36 monomials [669s]
  t = 6: kernel dim 1, VEV has 36 monomials [672s]
  t = 7: kernel dim 1, VEV has 36 monomials [652s]
  t = 8: kernel dim 1, VEV has 36 monomials [674s]
  t = 9: kernel dim 1, VEV has 36 monomials [662s]
  t = 11/2: kernel dim 1, VEV has 36 monomials [716s]
  t = 13/3: kernel dim 1, VEV has 36 monomials [705s]
  t = -2: kernel dim 1, VEV has 36 monomials [662s]
  t = -7/5: kernel dim 1, VEV has 36 monomials [677s]
  t = -4: kernel dim 1, VEV has 36 monomials [667s]
  t = -6: kernel dim 1, VEV has 36 monomials [687s]
  t = -9/2: kernel dim 1, VEV has 36 monomials [693s]
  t = 17/5: kernel dim 1, VEV has 36 monomials [685s]
  t = 19/3: kernel dim 1, VEV has 36 monomials [688s]
  t = -13/4: kernel dim 1, VEV has 36 monomials [697s]
  t = 25/3: kernel dim 1, VEV has 36 monomials [688s]
  t = -15/2: kernel dim 1, VEV has 36 monomials [702s]
  t = 5/3: kernel dim 1, VEV has 36 monomials [635s]
  t = 13/11: kernel dim 1, VEV has 36 monomials [656s]
  t = 15/13: kernel dim 1, VEV has 36 monomials [678s]
  t = -3/2: kernel dim 1, VEV has 36 monomials [663s]
  t = 12: kernel dim 1, VEV has 36 monomials [746s]
  t = -8: kernel dim 1, VEV has 36 monomials [750s]
  t = 16: kernel dim 1, VEV has 36 monomials [779s]
  t = -10: kernel dim 1, VEV has 36 monomials [767s]
  t = 20: kernel dim 1, VEV has 36 monomials [909s]
  t = -14: kernel dim 1, VEV has 36 monomials [822s]
  t = 11: kernel dim 1, VEV has 36 monomials [660s]
  t = -16/3: kernel dim 1, VEV has 36 monomials [791s]
  t = 24/5: kernel dim 1, VEV has 36 monomials [809s]
  t = -24/7: kernel dim 1, VEV has 36 monomials [779s]
  t = 31/9: kernel dim 1, VEV has 36 monomials [684s]
  t = -19/4: kernel dim 1, VEV has 36 monomials [696s]
  t = 21/11: kernel dim 1, VEV has 36 monomials [676s]
  t = 10: kernel dim 1, VEV has 36 monomials [691s]
  t = -11/3: SKIPPED (zero (dX)^W coefficient) [657s]
  t = 23/7: kernel dim 1, VEV has 36 monomials [678s]
  t = 14/3: kernel dim 1, VEV has 36 monomials [1064s]
Solution 3, weight 14: 37 fit points, 4 hold-outs
first-order profile (M-O2 form), (dX)^W = 1:
  (dX)^14 (dY.dY)^0: 1    [deg <= 0, verified on 4 hold-outs]
