F00 1 1 00 = {0, 0, 0, -1/6, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 0, 3/20, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, 0, -53/56, -7/4, 0, 0, -5/56, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 0, 21557/2880, 275/16, 77/16, 0, 0, 263/288, 27/16, 0, 0, 7/144, 0, 0, 0, 0, 0}
F00 1 1 10 = {0, 0, 0, 0, 0, 0, -1/6, 0, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 3/20, 0, 0, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, -53/56, -7/4, 0, -5/56, 0, 0, 0, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 21557/2880, 275/16, 77/16, 0, 263/288, 27/16, 0, 7/144, 0, 0}
F00 1 1 01 = {0, 0, 0, 0, -1/6, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 0, 3/20, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, 0, -53/56, -7/4, 0, 0, -5/56, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 0, 21557/2880, 275/16, 77/16, 0, 0, 263/288, 27/16, 0, 0, 7/144, 0, 0, 0, 0}
F00 2 1 00 = {0, 0, 0, 4/15, 0, 0, 0, 0, 0, -74/105, -6/5, 0, 0, -6/35, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 0, 41/42, 12/7, 0, 0, 2/21, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, 0, -15133/1980, -52/3, -5, 0, 0, -92/99, -5/3, 0, 0, -5/99, 0, 0, 0, 0, 0}
F00 2 1 10 = {0, 0, 0, 0, 0, 0, 4/15, 0, 0, 0, 0, 0, 0, -74/105, -6/5, 0, -6/35, 0, 0, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 41/42, 12/7, 0, 2/21, 0, 0, 0, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, -15133/1980, -52/3, -5, 0, -92/99, -5/3, 0, -5/99, 0, 0}
F00 2 1 01 = {0, 0, 0, 0, 4/15, 0, 0, 0, 0, 0, -74/105, -6/5, 0, 0, -6/35, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 0, 41/42, 12/7, 0, 0, 2/21, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, 0, -15133/1980, -52/3, -5, 0, 0, -92/99, -5/3, 0, 0, -5/99, 0, 0, 0, 0}
F00 3 1 00 = {0, 0, 0, -4/15, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 0, 6/35, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, 0, -41/42, -12/7, 0, 0, -2/21, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 0, 15133/1980, 52/3, 5, 0, 0, 92/99, 5/3, 0, 0, 5/99, 0, 0, 0, 0, 0}
F00 3 1 10 = {0, 0, 0, 0, 0, 0, -4/15, 0, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 6/35, 0, 0, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, -41/42, -12/7, 0, -2/21, 0, 0, 0, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 15133/1980, 52/3, 5, 0, 92/99, 5/3, 0, 5/99, 0, 0}
F00 3 1 01 = {0, 0, 0, 0, -4/15, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 0, 6/35, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, 0, -41/42, -12/7, 0, 0, -2/21, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 0, 15133/1980, 52/3, 5, 0, 0, 92/99, 5/3, 0, 0, 5/99, 0, 0, 0, 0}
F00 1 2 00 = {0, 0, 0, 5/2, 0, 0, 0, 0, 0, -95/8, -11/4, 0, 0, -9/4, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 0, 181/8, 25/4, 0, 0, 13/8, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, 0, -18295/64, -1645/16, -147/16, 0, 0, -881/32, -133/16, 0, 0, -17/16, 0, 0, 0, 0, 0}
F00 1 2 10 = {0, 0, 0, 0, 0, 0, 5/2, 0, 0, 0, 0, 0, 0, -95/8, -11/4, 0, -9/4, 0, 0, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 181/8, 25/4, 0, 13/8, 0, 0, 0, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, -18295/64, -1645/16, -147/16, 0, -881/32, -133/16, 0, -17/16, 0, 0}
F00 1 2 01 = {0, 0, 0, 0, 5/2, 0, 0, 0, 0, 0, -95/8, -11/4, 0, 0, -9/4, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 0, 181/8, 25/4, 0, 0, 13/8, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, 0, -18295/64, -1645/16, -147/16, 0, 0, -881/32, -133/16, 0, 0, -17/16, 0, 0, 0, 0}
F00 2 2 00 = {0, 0, 0, -8/3, 0, 0, 0, 0, 0, 188/15, 4, 0, 0, 12/5, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, 0, -165/7, -8, 0, 0, -12/7, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 0, 26401/90, 120, 14, 0, 0, 256/9, 10, 0, 0, 10/9, 0, 0, 0, 0, 0}
F00 2 2 10 = {0, 0, 0, 0, 0, 0, -8/3, 0, 0, 0, 0, 0, 0, 188/15, 4, 0, 12/5, 0, 0, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, -165/7, -8, 0, -12/7, 0, 0, 0, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 26401/90, 120, 14, 0, 256/9, 10, 0, 10/9, 0, 0}
F00 2 2 01 = {0, 0, 0, 0, -8/3, 0, 0, 0, 0, 0, 188/15, 4, 0, 0, 12/5, 0, 0, 0, 0, 0, -3949/42, -37, -4, 0, 0, -165/7, -8, 0, 0, -12/7, 0, 0, 0, 0, 0, 31831/30, 2681/6, 184/3, 10/3, 0, 0, 26401/90, 120, 14, 0, 0, 256/9, 10, 0, 0, 10/9, 0, 0, 0, 0}
F00 3 2 00 = {0, 0, 0, 44/15, 0, 0, 0, 0, 0, -278/21, -26/5, 0, 0, -18/7, 0, 0, 0, 0, 0, 40847/420, 619/14, 6, 0, 0, 1031/42, 68/7, 0, 0, 38/21, 0, 0, 0, 0, 0, -143239/132, -30277/60, -248/3, -17/3, 0, 0, -119191/396, -412/3, -19, 0, 0, -2908/99, -35/3, 0, 0, -115/99, 0, 0, 0, 0, 0}
