F00 3 2 10 = {0, 0, 0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, 0, -134/35, -14/5, 0, -78/35, 0, 0, 0, 0, 0, 0, 0, 2071/140, 137/14, 2, 0, 445/42, 44/7, 0, 34/21, 0, 0, 0, 0, 0, 0, 0, 0, -22753/220, -1201/20, -12, -1, 0, -51943/660, -140/3, -9, 0, -512/33, -25/3, 0, -35/33, 0, 0}
F00 3 2 01 = {0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, -134/35, -14/5, 0, 0, -78/35, 0, 0, 0, 0, 0, 2071/140, 137/14, 2, 0, 0, 445/42, 44/7, 0, 0, 34/21, 0, 0, 0, 0, 0, -22753/220, -1201/20, -12, -1, 0, 0, -51943/660, -140/3, -9, 0, 0, -512/33, -25/3, 0, 0, -35/33, 0, 0, 0, 0}
F00 4 2 00 = {0, 0, 0, -96/35, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 0, 256/105, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, 0, -368/33, -160/21, 0, 0, -400/231, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 0, 173744/2145, 1744/33, 32/3, 0, 0, 6920/429, 320/33, 0, 0, 160/143, 0, 0, 0, 0, 0}
F00 4 2 10 = {0, 0, 0, 0, 0, 0, -96/35, 0, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 256/105, 0, 0, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, -368/33, -160/21, 0, -400/231, 0, 0, 0, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 173744/2145, 1744/33, 32/3, 0, 6920/429, 320/33, 0, 160/143, 0, 0}
F00 4 2 01 = {0, 0, 0, 0, -96/35, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 0, 256/105, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, 0, -368/33, -160/21, 0, 0, -400/231, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 0, 173744/2145, 1744/33, 32/3, 0, 0, 6920/429, 320/33, 0, 0, 160/143, 0, 0, 0, 0}
F00 1 3 00 = {0, 0, 0, -1/2, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 0, 9/4, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, 0, -193/8, -13/4, 0, 0, -25/8, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 0, 19951/64, 929/16, 51/16, 0, 0, 1757/32, 133/16, 0, 0, 49/16, 0, 0, 0, 0, 0}
F00 1 3 10 = {0, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 9/4, 0, 0, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, -193/8, -13/4, 0, -25/8, 0, 0, 0, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 19951/64, 929/16, 51/16, 0, 1757/32, 133/16, 0, 49/16, 0, 0}
F00 1 3 01 = {0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 0, 9/4, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, 0, -193/8, -13/4, 0, 0, -25/8, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 0, 19951/64, 929/16, 51/16, 0, 0, 1757/32, 133/16, 0, 0, 49/16, 0, 0, 0, 0}
F00 2 3 00 = {0, 0, 0, 2, 0, 0, 0, 0, 0, -73/10, -8/5, 0, 0, -4, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 0, 67/2, 7, 0, 0, 9/2, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, 0, -3081/8, -367/4, -8, 0, 0, -553/8, -14, 0, 0, -4, 0, 0, 0, 0, 0}
F00 2 3 10 = {0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, -73/10, -8/5, 0, -4, 0, 0, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 67/2, 7, 0, 9/2, 0, 0, 0, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, -3081/8, -367/4, -8, 0, -553/8, -14, 0, -4, 0, 0}
F00 2 3 01 = {0, 0, 0, 0, 2, 0, 0, 0, 0, 0, -73/10, -8/5, 0, 0, -4, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 0, 67/2, 7, 0, 0, 9/2, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, 0, -3081/8, -367/4, -8, 0, 0, -553/8, -14, 0, 0, -4, 0, 0, 0, 0}
F00 3 3 00 = {0, 0, 0, -4, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 0, 6, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, 0, -87/2, -12, 0, 0, -6, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 0, 1845/4, 132, 15, 0, 0, 84, 21, 0, 0, 5, 0, 0, 0, 0, 0}
