F00 1 2 01 = {0, 0, 0, 0, 3/2, 0, 0, 0, 0, 0, -25/8, -5/4, 0, 0, -7/4, 0, 0, 0, 0, 0, 427/32, 49/8, 7/8, 0, 0, 75/8, 15/4, 0, 0, 11/8, 0, 0, 0, 0, 0, -12465/128, -2907/64, -243/32, -9/16, 0, 0, -4697/64, -539/16, -77/16, 0, 0, -455/32, -91/16, 0, 0, -15/16, 0, 0, 0, 0, 0, 555731/512, 32461/64, 5533/64, 121/16, 11/32, 0, 0, 54015/64, 12597/32, 1053/16, 39/8, 0, 0, 11529/64, 1323/16, 189/16, 0, 0, 255/16, 51/8, 0, 0, 19/32, 0, 0, 0, 0}
F00 2 2 00 = {0, 0, 0, -2, 0, 0, 0, 0, 0, 7/2, 2, 0, 0, 2, 0, 0, 0, 0, 0, -113/8, -8, -3/2, 0, 0, -10, -5, 0, 0, -3/2, 0, 0, 0, 0, 0, 3223/32, 429/8, 87/8, 1, 0, 0, 609/8, 161/4, 7, 0, 0, 119/8, 7, 0, 0, 1, 0, 0, 0, 0, 0, -142049/128, -2269/4, -1777/16, -23/2, -5/8, 0, 0, -864, -3543/8, -171/2, -15/2, 0, 0, -2961/16, -189/2, -63/4, 0, 0, -33/2, -15/2, 0, 0, -5/8, 0, 0, 0, 0, 0}
F00 2 2 10 = {0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 7/2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, -113/8, -8, -3/2, 0, -10, -5, 0, -3/2, 0, 0, 0, 0, 0, 0, 0, 0, 3223/32, 429/8, 87/8, 1, 0, 609/8, 161/4, 7, 0, 119/8, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -142049/128, -2269/4, -1777/16, -23/2, -5/8, 0, -864, -3543/8, -171/2, -15/2, 0, -2961/16, -189/2, -63/4, 0, -33/2, -15/2, 0, -5/8, 0, 0}
F00 2 2 01 = {0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 7/2, 2, 0, 0, 2, 0, 0, 0, 0, 0, -113/8, -8, -3/2, 0, 0, -10, -5, 0, 0, -3/2, 0, 0, 0, 0, 0, 3223/32, 429/8, 87/8, 1, 0, 0, 609/8, 161/4, 7, 0, 0, 119/8, 7, 0, 0, 1, 0, 0, 0, 0, 0, -142049/128, -2269/4, -1777/16, -23/2, -5/8, 0, 0, -864, -3543/8, -171/2, -15/2, 0, 0, -2961/16, -189/2, -63/4, 0, 0, -33/2, -15/2, 0, 0, -5/8, 0, 0, 0, 0}
F00 3 2 00 = {0, 0, 0, 12/5, 0, 0, 0, 0, 0, -134/35, -14/5, 0, 0, -78/35, 0, 0, 0, 0, 0, 2071/140, 137/14, 2, 0, 0, 445/42, 44/7, 0, 0, 34/21, 0, 0, 0, 0, 0, -22753/220, -1201/20, -12, -1, 0, 0, -51943/660, -140/3, -9, 0, 0, -512/33, -25/3, 0, 0, -35/33, 0, 0, 0, 0, 0, 361551383/320320, 106819/176, 439/4, 31/4, 1/4, 0, 0, 14134039/16016, 10727/22, 399/4, 9, 0, 0, 108585/572, 4671/44, 39/2, 0, 0, 9755/572, 95/11, 0, 0, 375/572, 0, 0, 0, 0, 0}
F00 3 2 10 = {0, 0, 0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, 0, -134/35, -14/5, 0, -78/35, 0, 0, 0, 0, 0, 0, 0, 2071/140, 137/14, 2, 0, 445/42, 44/7, 0, 34/21, 0, 0, 0, 0, 0, 0, 0, 0, -22753/220, -1201/20, -12, -1, 0, -51943/660, -140/3, -9, 0, -512/33, -25/3, 0, -35/33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 361551383/320320, 106819/176, 439/4, 31/4, 1/4, 0, 14134039/16016, 10727/22, 399/4, 9, 0, 108585/572, 4671/44, 39/2, 0, 9755/572, 95/11, 0, 375/572, 0, 0}
F00 3 2 01 = {0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, -134/35, -14/5, 0, 0, -78/35, 0, 0, 0, 0, 0, 2071/140, 137/14, 2, 0, 0, 445/42, 44/7, 0, 0, 34/21, 0, 0, 0, 0, 0, -22753/220, -1201/20, -12, -1, 0, 0, -51943/660, -140/3, -9, 0, 0, -512/33, -25/3, 0, 0, -35/33, 0, 0, 0, 0, 0, 361551383/320320, 106819/176, 439/4, 31/4, 1/4, 0, 0, 14134039/16016, 10727/22, 399/4, 9, 0, 0, 108585/572, 4671/44, 39/2, 0, 0, 9755/572, 95/11, 0, 0, 375/572, 0, 0, 0, 0}
F00 4 2 00 = {0, 0, 0, -96/35, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 0, 256/105, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, 0, -368/33, -160/21, 0, 0, -400/231, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 0, 173744/2145, 1744/33, 32/3, 0, 0, 6920/429, 320/33, 0, 0, 160/143, 0, 0, 0, 0, 0, -45249129/40040, -579946/1001, -260/11, 20, 2, 0, 0, -2694950/3003, -74640/143, -1116/11, -8, 0, 0, -27788/143, -16812/143, -252/11, 0, 0, -2516/143, -1400/143, 0, 0, -98/143, 0, 0, 0, 0, 0}
F00 4 2 10 = {0, 0, 0, 0, 0, 0, -96/35, 0, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 256/105, 0, 0, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, -368/33, -160/21, 0, -400/231, 0, 0, 0, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 173744/2145, 1744/33, 32/3, 0, 6920/429, 320/33, 0, 160/143, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45249129/40040, -579946/1001, -260/11, 20, 2, 0, -2694950/3003, -74640/143, -1116/11, -8, 0, -27788/143, -16812/143, -252/11, 0, -2516/143, -1400/143, 0, -98/143, 0, 0}
F00 4 2 01 = {0, 0, 0, 0, -96/35, 0, 0, 0, 0, 0, 144/35, 128/35, 0, 0, 256/105, 0, 0, 0, 0, 0, -5886/385, -80/7, -16/7, 0, 0, -368/33, -160/21, 0, 0, -400/231, 0, 0, 0, 0, 0, 523872/5005, 3424/55, 8, 0, 0, 0, 173744/2145, 1744/33, 32/3, 0, 0, 6920/429, 320/33, 0, 0, 160/143, 0, 0, 0, 0, 0, -45249129/40040, -579946/1001, -260/11, 20, 2, 0, 0, -2694950/3003, -74640/143, -1116/11, -8, 0, 0, -27788/143, -16812/143, -252/11, 0, 0, -2516/143, -1400/143, 0, 0, -98/143, 0, 0, 0, 0}
F00 1 3 00 = {0, 0, 0, -1/2, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 0, 9/4, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, 0, -193/8, -13/4, 0, 0, -25/8, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 0, 19951/64, 929/16, 51/16, 0, 0, 1757/32, 133/16, 0, 0, 49/16, 0, 0, 0, 0, 0, -39547515/5632, -1042101/704, -83781/704, -785/176, -19/352, 0, 0, -340101/64, -35295/32, -1359/16, -21/8, 0, 0, -67587/64, -3321/16, -207/16, 0, 0, -1317/16, -105/8, 0, 0, -81/32, 0, 0, 0, 0, 0}
